Year,Value,Units,variable_code
2023,930995,Dollars (millions),H01
2023,821630,Dollars (millions),H04
2023,84354,Dollars (millions),H05
2023,25010,Dollars (millions),H07
2023,832964,Dollars (millions),H08
2023,55267,Dollars (millions),H09
2023,7426,Dollars (millions),H10
2023,30814,Dollars (millions),H11
2023,147663,Dollars (millions),H12
2023,269,Dollars (millions),H13
2023,1639,Dollars (millions),H14
2023,566979,Dollars (millions),H19
2023,23176,Dollars (millions),H20
2023,80778,Dollars (millions),H21
2023,88197,Dollars (millions),H22
2023,105450,Dollars (millions),H23
2023,2831894,Dollars (millions),H24
2023,861255,Dollars (millions),H25
2023,681890,Dollars (millions),H26
2023,1288749,Dollars (millions),H29
2023,2831893,Dollars (millions),H30
2023,957410,Dollars (millions),H31
2023,1074693,Dollars (millions),H32
2023,799791,Dollars (millions),H33
2023,464600,Dollars,H34
2023,52600,Dollars,H35
2023,80,Percentage,H36
2023,72,Percentage,H37
2023,11,Percentage,H39
2023,4,Percentage,H40
2023,34,Percentage,H41
2023,54462,Dollars (millions),H01
2023,51472,Dollars (millions),H04
2023,893,Dollars (millions),H05
2023,15,Dollars (millions),H06
2023,2081,Dollars (millions),H07
2023,48377,Dollars (millions),H08
2023,3641,Dollars (millions),H09
2023,517,Dollars (millions),H10
2023,2582,Dollars (millions),H11
2023,6858,Dollars (millions),H12
2023,2,Dollars (millions),H13
2023,33623,Dollars (millions),H19
2023,1156,Dollars (millions),H20
2023,14144,Dollars (millions),H21
2023,14606,Dollars (millions),H22
2023,6547,Dollars (millions),H23
2023,213128,Dollars (millions),H24
2023,38087,Dollars (millions),H25
2023,123770,Dollars (millions),H26
2023,51271,Dollars (millions),H29
2023,213128,Dollars (millions),H30
2023,105972,Dollars (millions),H31
2023,37086,Dollars (millions),H32
2023,70070,Dollars (millions),H33
2023,485000,Dollars,H34
2023,58300,Dollars,H35
2023,103,Percentage,H36
2023,63,Percentage,H37
2023,6,Percentage,H39
2023,3,Percentage,H40
2023,50,Percentage,H41
2023,6011,Dollars (millions),H01
2023,5410,Dollars (millions),H04
2023,193,Dollars (millions),H05
2023,408,Dollars (millions),H07
2023,5270,Dollars (millions),H08
2023,337,Dollars (millions),H09
2023,43,Dollars (millions),H10
2023,376,Dollars (millions),H11
2023,977,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,3498,Dollars (millions),H19
2023,39,Dollars (millions),H20
2023,395,Dollars (millions),H21
2023,438,Dollars (millions),H22
2023,784,Dollars (millions),H23
2023,21791,Dollars (millions),H24
2023,3518,Dollars (millions),H25
2023,13836,Dollars (millions),H26
2023,4438,Dollars (millions),H29
2023,21791,Dollars (millions),H30
2023,10361,Dollars (millions),H31
2023,4237,Dollars (millions),H32
2023,7193,Dollars (millions),H33
2023,243600,Dollars,H34
2023,31800,Dollars,H35
2023,83,Percentage,H36
2023,73,Percentage,H37
2023,8,Percentage,H39
2023,4,Percentage,H40
2023,48,Percentage,H41
2023,6011,Dollars (millions),H01
2023,5410,Dollars (millions),H04
2023,193,Dollars (millions),H05
2023,408,Dollars (millions),H07
2023,5270,Dollars (millions),H08
2023,337,Dollars (millions),H09
2023,43,Dollars (millions),H10
2023,376,Dollars (millions),H11
2023,977,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,3498,Dollars (millions),H19
2023,39,Dollars (millions),H20
2023,395,Dollars (millions),H21
2023,438,Dollars (millions),H22
2023,784,Dollars (millions),H23
2023,21791,Dollars (millions),H24
2023,3518,Dollars (millions),H25
2023,13836,Dollars (millions),H26
2023,4438,Dollars (millions),H29
2023,21791,Dollars (millions),H30
2023,10361,Dollars (millions),H31
2023,4237,Dollars (millions),H32
2023,7193,Dollars (millions),H33
2023,243600,Dollars,H34
2023,31800,Dollars,H35
2023,83,Percentage,H36
2023,73,Percentage,H37
2023,8,Percentage,H39
2023,4,Percentage,H40
2023,48,Percentage,H41
2023,13284,Dollars (millions),H01
2023,12381,Dollars (millions),H04
2023,222,Dollars (millions),H05
2023,680,Dollars (millions),H07
2023,11627,Dollars (millions),H08
2023,910,Dollars (millions),H09
2023,204,Dollars (millions),H10
2023,616,Dollars (millions),H11
2023,1210,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,8599,Dollars (millions),H19
2023,89,Dollars (millions),H20
2023,6309,Dollars (millions),H21
2023,6465,Dollars (millions),H22
2023,1813,Dollars (millions),H23
2023,68115,Dollars (millions),H24
2023,14061,Dollars (millions),H25
2023,44634,Dollars (millions),H26
2023,9420,Dollars (millions),H29
2023,68115,Dollars (millions),H30
2023,37866,Dollars (millions),H31
2023,11837,Dollars (millions),H32
2023,18412,Dollars (millions),H33
2023,688100,Dollars,H34
2023,93900,Dollars,H35
2023,119,Percentage,H36
2023,64,Percentage,H37
2023,5,Percentage,H39
2023,3,Percentage,H40
2023,56,Percentage,H41
2023,13284,Dollars (millions),H01
2023,12381,Dollars (millions),H04
2023,222,Dollars (millions),H05
2023,680,Dollars (millions),H07
2023,11627,Dollars (millions),H08
2023,910,Dollars (millions),H09
2023,204,Dollars (millions),H10
2023,616,Dollars (millions),H11
2023,1210,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,8599,Dollars (millions),H19
2023,89,Dollars (millions),H20
2023,6309,Dollars (millions),H21
2023,6465,Dollars (millions),H22
2023,1813,Dollars (millions),H23
2023,68115,Dollars (millions),H24
2023,14061,Dollars (millions),H25
2023,44634,Dollars (millions),H26
2023,9420,Dollars (millions),H29
2023,68115,Dollars (millions),H30
2023,37866,Dollars (millions),H31
2023,11837,Dollars (millions),H32
2023,18412,Dollars (millions),H33
2023,688100,Dollars,H34
2023,93900,Dollars,H35
2023,119,Percentage,H36
2023,64,Percentage,H37
2023,5,Percentage,H39
2023,3,Percentage,H40
2023,56,Percentage,H41
2023,17849,Dollars (millions),H01
2023,17209,Dollars (millions),H04
2023,270,Dollars (millions),H05
2023,370,Dollars (millions),H07
2023,15227,Dollars (millions),H08
2023,1782,Dollars (millions),H09
2023,187,Dollars (millions),H10
2023,735,Dollars (millions),H11
2023,1911,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,10559,Dollars (millions),H19
2023,54,Dollars (millions),H20
2023,6052,Dollars (millions),H21
2023,6202,Dollars (millions),H22
2023,2771,Dollars (millions),H23
2023,71040,Dollars (millions),H24
2023,13257,Dollars (millions),H25
2023,46819,Dollars (millions),H26
2023,10965,Dollars (millions),H29
2023,71040,Dollars (millions),H30
2023,28605,Dollars (millions),H31
2023,12307,Dollars (millions),H32
2023,30128,Dollars (millions),H33
2023,724200,Dollars,H34
2023,112400,Dollars,H35
2023,108,Percentage,H36
2023,57,Percentage,H37
2023,10,Percentage,H39
2023,4,Percentage,H40
2023,40,Percentage,H41
2023,17849,Dollars (millions),H01
2023,17209,Dollars (millions),H04
2023,270,Dollars (millions),H05
2023,370,Dollars (millions),H07
2023,15227,Dollars (millions),H08
2023,1782,Dollars (millions),H09
2023,187,Dollars (millions),H10
2023,735,Dollars (millions),H11
2023,1911,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,10559,Dollars (millions),H19
2023,54,Dollars (millions),H20
2023,6052,Dollars (millions),H21
2023,6202,Dollars (millions),H22
2023,2771,Dollars (millions),H23
2023,71040,Dollars (millions),H24
2023,13257,Dollars (millions),H25
2023,46819,Dollars (millions),H26
2023,10965,Dollars (millions),H29
2023,71040,Dollars (millions),H30
2023,28605,Dollars (millions),H31
2023,12307,Dollars (millions),H32
2023,30128,Dollars (millions),H33
2023,724200,Dollars,H34
2023,112400,Dollars,H35
2023,108,Percentage,H36
2023,57,Percentage,H37
2023,10,Percentage,H39
2023,4,Percentage,H40
2023,40,Percentage,H41
2023,2471,Dollars (millions),H01
2023,2351,Dollars (millions),H04
2023,41,Dollars (millions),H05
2023,79,Dollars (millions),H07
2023,2308,Dollars (millions),H08
2023,123,Dollars (millions),H09
2023,17,Dollars (millions),H10
2023,126,Dollars (millions),H11
2023,320,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,1709,Dollars (millions),H19
2023,13,Dollars (millions),H20
2023,662,Dollars (millions),H21
2023,716,Dollars (millions),H22
2023,217,Dollars (millions),H23
2023,8150,Dollars (millions),H24
2023,1909,Dollars (millions),H25
2023,4729,Dollars (millions),H26
2023,1513,Dollars (millions),H29
2023,8150,Dollars (millions),H30
2023,3246,Dollars (millions),H31
2023,2133,Dollars (millions),H32
2023,2771,Dollars (millions),H33
2023,426900,Dollars,H34
2023,37400,Dollars,H35
2023,89,Percentage,H36
2023,56,Percentage,H37
2023,7,Percentage,H39
2023,3,Percentage,H40
2023,40,Percentage,H41
2023,2471,Dollars (millions),H01
2023,2351,Dollars (millions),H04
2023,41,Dollars (millions),H05
2023,79,Dollars (millions),H07
2023,2308,Dollars (millions),H08
2023,123,Dollars (millions),H09
2023,17,Dollars (millions),H10
2023,126,Dollars (millions),H11
2023,320,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,1709,Dollars (millions),H19
2023,13,Dollars (millions),H20
2023,662,Dollars (millions),H21
2023,716,Dollars (millions),H22
2023,217,Dollars (millions),H23
2023,8150,Dollars (millions),H24
2023,1909,Dollars (millions),H25
2023,4729,Dollars (millions),H26
2023,1513,Dollars (millions),H29
2023,8150,Dollars (millions),H30
2023,3246,Dollars (millions),H31
2023,2133,Dollars (millions),H32
2023,2771,Dollars (millions),H33
2023,426900,Dollars,H34
2023,37400,Dollars,H35
2023,89,Percentage,H36
2023,56,Percentage,H37
2023,7,Percentage,H39
2023,3,Percentage,H40
2023,40,Percentage,H41
2023,6424,Dollars (millions),H01
2023,5897,Dollars (millions),H04
2023,62,Dollars (millions),H05
2023,1,Dollars (millions),H06
2023,465,Dollars (millions),H07
2023,6304,Dollars (millions),H08
2023,298,Dollars (millions),H09
2023,27,Dollars (millions),H10
2023,285,Dollars (millions),H11
2023,447,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,4355,Dollars (millions),H19
2023,893,Dollars (millions),H20
2023,180,Dollars (millions),H21
2023,180,Dollars (millions),H22
2023,120,Dollars (millions),H23
2023,32001,Dollars (millions),H24
2023,2133,Dollars (millions),H25
2023,7805,Dollars (millions),H26
2023,22063,Dollars (millions),H29
2023,32001,Dollars (millions),H30
2023,20352,Dollars (millions),H31
2023,3672,Dollars (millions),H32
2023,7977,Dollars (millions),H33
2023,1280600,Dollars,H34
2023,23900,Dollars,H35
2023,58,Percentage,H36
2023,53,Percentage,H37
2023,1,Percentage,H39
2023,0,Percentage,H40
